"","x"
"1","Papilio machaon  Seyer, 1976"
"2","Papilio machaon muetingi Seyer, 1976"
"3","Papilio machaon syriacus Verity, 1908"
"4","Papilio saharae  Oberthür, 1879"
"5","Papilio saharae saharae Oberthür, 1879"
"6","Papilio saharae rathjensi Warnecke, 1932"
"7","Papilio antimachus  Drury, 1782"
"8","Papilio antimachus antimachus Drury, 1782"
"9","Papilio antimachus parva Jackson, 1956"
"10","Papilio zalmoxis  Hewitson, 1864"
"11","Papilio nireus  Linnaeus, 1758"
"12","Papilio nireus nireus Linnaeus, 1758"
"13","Papilio nireus lyaeus Doubleday, 1845"
"14","Papilio nireus pseudonireus Felder &amp; Felder, 1865"
"15","Papilio aristophontes  Oberthür, 1897"
"16","Papilio charopus  Westwood, 1843"
"17","Papilio charopus charopus Westwood, 1843"
"18","Papilio charopus montuosus Joicey &amp; Talbot, 1927"
"19","Papilio chrapkowskoides  Storace, 1952"
"20","Papilio chrapkowskoides chrapkowskoides Storace, 1952"
"21","Papilio chrapkowskoides nurettini Koçak, 1983"
"22","Papilio desmondi  van Someren, 1939"
"23","Papilio desmondi desmondi van Someren, 1939"
"24","Papilio desmondi magdae Gifford, 1961"
"25","Papilio desmondi teita van Someren, 1960"
"26","Papilio desmondi usambaraensis (Koçak, 1980)"
"27","Papilio hornimani  Distant, 1879"
"28","Papilio hornimani hornimani Distant, 1879"
"29","Papilio hornimani mbulu Kielland, 1990"
"30","Papilio hornimani mwanihanae Kielland, 1987"
"31","Papilio interjectana  Vane-Wright, 1995"
"32","Papilio nerminae  Koçak, 1983"
"33","Papilio sosia  Rothschild &amp; Jordan, 1903"
"34","Papilio sosia sosia Rothschild &amp; Jordan, 1903"
"35","Papilio sosia debilis Storace, 1951"
"36","Papilio sosia pulchra Berger, 1950"
"37","Papilio thuraui  Karsch, 1900"
"38","Papilio thuraui thuraui Karsch, 1900"
"39","Papilio thuraui cyclopis Rothschild &amp; Jordan, 1903"
"40","Papilio thuraui heathi (Hancock, 1984)"
"41","Papilio thuraui ngorongoro (Hancock, 1984)"
"42","Papilio thuraui occidua Storace, 1951"
"43","Papilio thuraui viphya (Hancock, 1984)"
"44","Papilio ufipa  Carcasson, 1961"
"45","Papilio wilsoni  Rothschild, 1926"
"46","Papilio cynorta  Fabricius, 1793"
"47","Papilio arnoldiana  Vane-Wright, 1995"
"48","Papilio plagiatus  Aurivillius, 1898"
"49","Papilio dardanus  Brown, 1776"
"50","Papilio dardanus dardanus Brown, 1776"
"51","Papilio dardanus antinorii Oberthür, 1883"
"52","Papilio dardanus byatti Poulton, 1926"
"53","Papilio dardanus cenea Stoll, 1790"
"54","Papilio dardanus figinii Storace, 1962"
"55","Papilio dardanus flavicornis Carpenter, 1947"
"56","Papilio dardanus humbloti Oberthür, 1888"
"57","Papilio dardanus meriones Felder &amp; Felder, 1865"
"58","Papilio dardanus meseres Carpenter, 1948"
"59","Papilio dardanus ochraceana Vane-Wright, 1995"
"60","Papilio dardanus polytrophus Rothschild &amp; Jordan, 1903"
"61","Papilio dardanus sulfurea Palisot de Beauvois, 1806"
"62","Papilio dardanus tibullus Kirby, 1880"
"63","Papilio constantinus  Ward, 1871"
"64","Papilio constantinus constantinus Ward, 1871"
"65","Papilio constantinus lecerfi Koçak, 1996"
"66","Papilio constantinus mweruanus Joicey &amp; Talbot, 1927"
"67","Papilio delalandei  Godart, [1824]"
"68","Papilio phorcas  Cramer, 1775"
"69","Papilio phorcas phorcas Cramer, 1775"
"70","Papilio phorcas ansorgei Rothschild, 1896"
"71","Papilio phorcas bardamu Canu, 1994"
"72","Papilio phorcas congoanus Rothschild, 1896"
"73","Papilio phorcas nyikanus Rothschild &amp; Jordan, 1903"
"74","Papilio phorcas ruscoei Krüger, 1928"
"75","Papilio phorcas sudanicola Storace, 1965"
"76","Papilio phorcas tenuifasciatus Kielland, 1990"
"77","Papilio rex  Oberthür, 1886"
"78","Papilio rex rex Oberthür, 1886"
"79","Papilio rex abyssinicana Vane-Wright, 1995"
"80","Papilio rex alinderi Bryk, 1928"
"81","Papilio rex franciscae Carpenter, 1928"
"82","Papilio rex mimeticus Rothschild, 1897"
"83","Papilio rex regulana Vane-Wright, 1995"
"84","Papilio rex schultzei Aurivillius, 1904"
"85","Papilio zenobia  Fabricius, 1775"
"86","Papilio cyproeofila  Butler, 1868"
"87","Papilio cyproeofila cyproeofila Butler, 1868"
"88","Papilio cyproeofila praecyola Suffert, 1904"
"89","Papilio fernandus  Fruhstorfer, 1903"
"90","Papilio filaprae  Suffert, 1904"
"91","Papilio filaprae filaprae Suffert, 1904"
"92","Papilio filaprae musolanus (Hancock, 1988)"
"93","Papilio gallienus  Distant, 1879"
"94","Papilio mechowi  Dewitz, 1881"
"95","Papilio mechowi mechowi Dewitz, 1881"
"96","Papilio mechowi whitnalli Neave, 1904"
"97","Papilio mechowianus  Dewitz, 1885"
"98","Papilio nobicea  Suffert, 1904"
"99","Papilio demodocus  Esper, [1798]"
"100","Papilio demodocus demodocus Esper, [1798]"
"101","Papilio demodocus bennetti Dixey, 1898"
"102","Papilio demoleus  Linnaeus, 1758"
"103","Papilio erithonioides  Grose-Smith, 1891"
"104","Papilio grosesmithi  Rothschild, 1926"
"105","Papilio morondavana  Grose-Smith, 1891"
"106","Papilio echerioides  Trimen, 1868"
"107","Papilio echerioides echerioides Trimen, 1868"
"108","Papilio echerioides ambangulu Clifton &amp; Collins, 1997"
"109","Papilio echerioides chirindanus van Son, 1956"
"110","Papilio echerioides homeyeri Plötz, 1880"
"111","Papilio echerioides joiceyi Gabriel, 1945"
"112","Papilio echerioides kiellandi Clifton &amp; Collins, 1997"
"113","Papilio echerioides leucospilus Rothschild, 1902"
"114","Papilio echerioides nioka (Hancock, 1989)"
"115","Papilio echerioides nyiro Carcasson, 1962"
"116","Papilio echerioides oscari Rothschild, 1902"
"117","Papilio echerioides pseudowertheri Kielland, 1990"
"118","Papilio echerioides shirensis (Hancock, 1987)"
"119","Papilio echerioides wertheri Karsch, 1898"
"120","Papilio echerioides zoroastres Druce, 1878"
"121","Papilio fuelleborni  Karsch, 1900"
"122","Papilio fuelleborni fuelleborni Karsch, 1900"
"123","Papilio fuelleborni neocesa Kemal &amp; Kocak, 2005"
"124","Papilio fuelleborni rydoni Kielland, 1987"
"125","Papilio fuelleborni sjoestedti Aurivillius, 1908"
"126","Papilio jacksoni  Sharpe, 1891"
"127","Papilio jacksoni jacksoni Sharpe, 1891"
"128","Papilio jacksoni hecqui Berger, 1954"
"129","Papilio jacksoni imatonga Clifton &amp; Collins, 1997"
"130","Papilio jacksoni kungwe Cottrell, 1963"
"131","Papilio jacksoni nyika Cottrell, 1963"
"132","Papilio jacksoni ruandana Le Cerf, 1924"
"133","Papilio oribazus  Boisduval, 1836"
"134","Papilio epiphorbas  Boisduval, 1833"
"135","Papilio epiphorbas epiphorbas Boisduval, 1833"
"136","Papilio epiphorbas guyonnaudi Turlin &amp; Guilbot, 1990"
"137","Papilio epiphorbas praedicta Turlin &amp; Guilbot, 1990"
"138","Papilio nobilis  Rogenhofer, 1891"
"139","Papilio nobilis nobilis Rogenhofer, 1891"
"140","Papilio nobilis crippsianus Stoneham, 1936"
"141","Papilio nobilis didingensis Carpenter, 1928"
"142","Papilio nobilis mpanda Kielland, 1990"
"143","Papilio hesperus  Westwood, 1843"
"144","Papilio hesperus hesperus Westwood, 1843"
"145","Papilio hesperus feae Storace, 1963"
"146","Papilio hesperus sudana Gabriel, 1945"
"147","Papilio euphranor  Trimen, 1868"
"148","Papilio horribilis  Butler, 1874"
"149","Papilio pelodurus  Butler, 1896"
"150","Papilio pelodurus pelodurus Butler, 1896"
"151","Papilio pelodurus vesper Le Cerf, 1924"
"152","Papilio menestheus  Drury, 1773"
"153","Papilio menestheus menestheus Drury, 1773"
"154","Papilio menestheus canui Gauthier, 1984"
"155","Papilio lormieri  Distant, 1874"
"156","Papilio lormieri lormieri Distant, 1874"
"157","Papilio lormieri neocrocea Koçak, 1983"
"158","Papilio lormieri semlikana Le Cerf, 1924"
"159","Papilio ophidicephalus  Oberthür, 1878"
"160","Papilio ophidicephalus ophidicephalus Oberthür, 1878"
"161","Papilio ophidicephalus ayresi van Son, 1939"
"162","Papilio ophidicephalus chirinda van Son, 1939"
"163","Papilio ophidicephalus cottrelli van Son, 1966"
"164","Papilio ophidicephalus entabeni van Son, 1939"
"165","Papilio ophidicephalus mkuwadzi Gifford, 1961"
"166","Papilio ophidicephalus niassicola Storace, 1955"
"167","Papilio ophidicephalus phalusco Suffert, 1904"
"168","Papilio ophidicephalus transvaalensis van Son, 1939"
"169","Papilio ophidicephalus zuluensis van Son, 1939"
"170","Papilio andronicus  Ward, 1871"
"171","Papilio chitondensis  Bivar de Sousa &amp; Fernandes, 1966"
"172","Papilio leucotaenia  Rothschild, 1908"
"173","Papilio mackinnoni  Sharpe, 1891"
"174","Papilio mackinnoni mackinnoni Sharpe, 1891"
"175","Papilio mackinnoni benguellae Jordan, 1908"
"176","Papilio mackinnoni isokae (Hancock, 1984)"
"177","Papilio mackinnoni mpwapwana Kielland, 1990"
"178","Papilio mackinnoni reductofascia Kielland, 1990"
"179","Papilio mackinnoni theodori Riley, 1921"
"180","Papilio mangoura  Hewitson, 1875"
"181","Papilio manlius  Fabricius, 1798"
"182","Papilio microps  Storace, 1952"
"183","Papilio phorbanta  Linnaeus, 1771"
"184","Papilio phorbanta phorbanta Linnaeus, 1771"
"185","Papilio phorbanta nana Oberthür, 1879"
